Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);SSL Sertifikası Geçerli mi?
ABDULLAH GÜL ÜNİVERSİTESİ;http://www.agu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ;http://www.acibadem.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;http://www.atu.edu.tr;True;True;2025-04-09 00:00:00;2026-05-10 23:59:59;False;False;False;False;False;False;True;True;0;True
ADIYAMAN ÜNİVERSİTESİ;http://www.adiyaman.edu.tr/;True;True;2024-10-17 00:00:00;2025-10-23 23:59:59;True;False;False;False;False;False;True;True;1;True
AFYON KOCATEPE ÜNİVERSİTESİ;http://www.aku.edu.tr;True;True;2024-09-20 00:00:00;2025-08-20 23:59:59;True;False;False;False;False;False;True;True;1;True
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;www.afsu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ;http://www.agri.edu.tr;True;True;2025-01-09 00:00:00;2026-02-09 23:59:59;False;False;False;False;False;False;True;True;0;True
AKDENİZ ÜNİVERSİTESİ;http://www.akdeniz.edu.tr;True;True;2024-06-06 00:00:00;2025-06-11 23:59:59;True;False;False;False;False;False;True;True;1;True
AKSARAY ÜNİVERSİTESİ;www.aksaray.edu.tr;True;True;2025-05-17 20:31:28;2025-08-15 21:29:50;False;False;True;False;False;False;True;True;1;True
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ;http://www.alanya.edu.tr/;True;True;2025-05-08 12:31:58;2025-08-06 12:31:57;False;False;False;False;False;False;True;True;0;True
ALANYA ÜNİVERSİTESİ;"http://www.alanyauniversity.edu
.tr";False;False;;;False;False;False;False;False;True;True;True;0;False
ALTINBAŞ ÜNİVERSİTESİ;http://www.altinbas.edu.tr/tr;True;True;2025-01-14 00:00:00;2026-02-14 23:59:59;True;True;True;True;False;False;False;False;4;True
AMASYA ÜNİVERSİTESİ;http://www.amasya.edu.tr;True;True;2024-08-26 00:00:00;2025-09-26 23:59:59;False;False;False;False;False;False;True;True;0;True
ANADOLU ÜNİVERSİTESİ;http://www.anadolu.edu.tr/;True;True;2025-05-08 15:23:44;2026-06-09 15:23:43;True;False;True;True;True;False;False;True;4;True
ANKA TEKNOLOJİ ÜNİVERSİTESİ;-;False;False;;;False;False;False;False;False;True;True;True;0;False
ANKARA BİLİM ÜNİVERSİTESİ;www.ankarabilim.edu.tr;True;True;2024-12-12 00:00:00;2026-01-11 23:59:59;False;False;False;False;False;False;True;True;0;True
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ;https://hacibayram.edu.tr;True;True;2024-07-29 09:37:09;2025-08-30 09:37:08;False;False;False;False;False;False;True;True;0;True
ANKARA MEDİPOL ÜNİVERSİTESİ;www.ankaramedipol.edu.tr;True;True;2025-03-23 13:32:08;2025-06-21 14:31:50;False;False;True;True;True;False;False;True;3;True
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ;http://www.mgu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ;http://www.asbu.edu.tr/;True;True;2025-01-31 00:00:00;2026-02-04 23:59:59;False;False;False;False;False;False;True;True;0;True
ANKARA ÜNİVERSİTESİ;http://www.ankara.edu.tr;True;True;2025-04-29 00:00:00;2026-05-14 23:59:59;False;False;False;False;False;False;True;True;0;True
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ;www.aybu.edu.tr;True;True;2024-10-08 00:00:00;2025-11-08 23:59:59;True;False;False;False;False;False;True;True;1;True
ANTALYA BELEK ÜNİVERSİTESİ;www.belek.edu.tr;True;True;2025-02-17 05:59:23;2026-02-17 05:59:23;True;False;False;False;False;False;True;True;1;True
ANTALYA BİLİM ÜNİVERSİTESİ;http://www.antalya.edu.tr/;True;True;2024-06-07 00:00:00;2025-06-06 23:59:59;False;False;False;False;False;False;True;True;0;False
ARDAHAN ÜNİVERSİTESİ;http://www.ardahan.edu.tr;True;True;2025-03-19 00:00:00;2026-04-19 23:59:59;False;False;False;False;False;False;True;True;0;True
ARTVİN ÇORUH ÜNİVERSİTESİ;http://www.artvin.edu.tr;True;True;2025-05-06 20:39:31;2025-08-04 21:35:21;True;False;True;True;True;False;False;True;4;True
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU;http://www.adiguzel.edu.tr/;True;True;2025-04-14 00:00:00;2026-04-14 23:59:59;False;False;False;False;False;False;True;True;0;True
ATATÜRK ÜNİVERSİTESİ;http://www.atauni.edu.tr;True;True;2025-05-07 14:18:56;2025-08-05 14:18:55;True;True;True;True;False;False;False;False;4;False
ATILIM ÜNİVERSİTESİ;www.atilim.edu.tr;True;True;2024-10-09 09:50:09;2025-11-10 09:50:08;True;True;True;True;True;False;False;False;5;True
AVRASYA ÜNİVERSİTESİ;www.avrasya.edu.tr;True;True;2025-01-31 00:00:00;2026-01-01 23:59:59;False;False;False;False;False;False;True;True;0;True
AYDIN ADNAN MENDERES ÜNİVERSİTESİ;http://www.adu.edu.tr;True;True;2025-01-03 00:00:00;2026-02-03 23:59:59;False;False;False;False;False;False;True;True;0;True
BAHÇEŞEHİR ÜNİVERSİTESİ;http://www.bahcesehir.edu.tr;True;True;2024-12-24 14:09:25;2026-01-25 14:09:24;True;False;True;True;False;False;False;True;3;True
BALIKESİR ÜNİVERSİTESİ;http://www.balikesir.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ;http://www.bandirma.edu.tr;True;True;2024-11-25 00:00:00;2025-11-25 23:59:59;False;False;True;False;False;False;True;True;1;True
BARTIN ÜNİVERSİTESİ;http://www.bartin.edu.tr/;True;True;2024-09-05 00:00:00;2025-10-06 23:59:59;False;False;True;False;False;False;True;True;1;True
BAŞKENT ÜNİVERSİTESİ;http://www.baskent.edu.tr;True;True;2025-03-26 00:00:00;2026-04-03 23:59:59;False;False;True;True;True;False;False;True;3;True
BATMAN ÜNİVERSİTESİ;http://www.batman.edu.tr;True;True;2025-01-06 00:00:00;2025-12-03 23:59:59;True;False;False;False;True;False;True;True;2;True
BAYBURT ÜNİVERSİTESİ;https://bayburt.edu.tr;True;True;2024-07-18 00:00:00;2025-07-26 23:59:59;False;False;False;False;False;False;True;True;0;True
BEYKOZ ÜNİVERSİTESİ;www.beykoz.edu.tr;True;True;2024-08-05 00:00:00;2025-08-05 23:59:59;True;False;True;True;False;False;False;True;3;True
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ;http://www.bezmialem.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;False
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ;http://www.bilecik.edu.tr/;True;True;2024-05-30 13:47:04;2025-05-30 13:47:04;True;False;False;False;False;False;True;True;1;True
BİNGÖL ÜNİVERSİTESİ;http://www.bingol.edu.tr;True;True;2024-12-03 00:00:00;2025-12-03 23:59:59;False;False;False;False;False;False;True;True;0;True
BİRUNİ ÜNİVERSİTESİ;http://www.biruni.edu.tr/;True;True;2024-11-04 00:00:00;2025-12-05 23:59:59;False;False;True;False;False;False;True;True;1;True
BİTLİS EREN ÜNİVERSİTESİ;www.beu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
BOĞAZİÇİ ÜNİVERSİTESİ;https://www.bogazici.edu.tr;True;True;2024-08-13 00:00:00;2025-08-13 23:59:59;False;False;False;False;False;False;True;True;0;True
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ;http://www.ibu.edu.tr/;True;True;2025-05-14 00:00:00;2026-03-09 23:59:59;False;False;False;False;False;False;True;True;0;True
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ;http://www.mehmetakif.edu.tr;True;True;2024-09-03 00:00:00;2025-08-22 23:59:59;False;False;False;False;False;False;True;True;0;True
BURSA TEKNİK ÜNİVERSİTESİ;http://btu.edu.tr/;True;True;2024-12-20 11:34:11;2026-01-21 11:34:10;False;False;False;False;False;False;True;True;0;True
BURSA ULUDAĞ ÜNİVERSİTESİ;http://www.uludag.edu.tr/;True;True;2024-08-13 00:00:00;2025-09-04 23:59:59;True;False;False;False;False;False;True;True;1;True
ÇAĞ ÜNİVERSİTESİ;http://www.cag.edu.tr/;True;True;2025-05-06 23:49:49;2025-08-04 23:49:48;False;False;False;False;False;False;True;True;0;True
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ;www.comu.edu.tr;True;True;2024-09-30 00:00:00;2025-10-31 23:59:59;True;False;True;True;True;False;False;True;4;True
ÇANKAYA ÜNİVERSİTESİ;http://www.cankaya.edu.tr/;True;True;2024-06-07 00:00:00;2025-06-23 23:59:59;False;False;False;False;False;False;True;True;0;True
ÇANKIRI KARATEKİN ÜNİVERSİTESİ;www.karatekin.edu.tr;True;True;2025-05-15 05:01:45;2025-08-13 05:01:44;False;False;False;False;False;False;True;True;0;True
ÇUKUROVA ÜNİVERSİTESİ;www.cu.edu.tr;True;True;2024-10-04 14:15:55;2025-11-05 14:15:54;True;False;True;True;False;False;False;True;3;True
DEMİROĞLU BİLİM ÜNİVERSİTESİ;http://www.demiroglu.bilim.edu. tr;False;False;;;False;False;False;False;False;True;True;True;0;False
DİCLE ÜNİVERSİTESİ;www.dicle.edu.tr;True;True;2025-05-05 12:25:07;2026-05-05 12:25:07;False;False;False;False;False;False;True;True;0;True
DOĞUŞ ÜNİVERSİTESİ;http://www.dogus.edu.tr;True;True;2024-08-03 08:27:26;2025-08-19 06:45:38;True;False;True;True;True;False;False;True;4;True
DOKUZ EYLÜL ÜNİVERSİTESİ;http://www.deu.edu.tr;True;True;2024-05-17 00:00:00;2025-06-17 23:59:59;False;False;False;False;False;False;True;True;0;True
DÜZCE ÜNİVERSİTESİ;http://www.duzce.edu.tr/;True;True;2025-04-09 00:00:00;2026-05-10 23:59:59;False;False;False;False;False;False;True;True;0;True
EGE ÜNİVERSİTESİ;http://www.ege.edu.tr;True;True;2024-05-31 00:00:00;2025-05-31 23:59:59;False;False;False;False;False;False;True;True;0;True
ERCİYES ÜNİVERSİTESİ;http://www.erciyes.edu.tr;True;True;2024-07-03 00:00:00;2025-08-03 23:59:59;False;False;True;False;False;False;True;True;1;True
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ;http://www.ebyu.edu.tr;True;True;2024-10-01 00:00:00;2025-09-08 23:59:59;False;False;False;False;False;False;True;True;0;True
ERZURUM TEKNİK ÜNİVERSİTESİ;http://www.erzurum.edu.tr/;True;True;2025-04-03 07:06:32;2025-07-02 07:06:31;False;False;False;False;False;False;True;True;0;True
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ;http://www.ogu.edu.tr;True;True;2024-07-04 00:00:00;2025-08-02 23:59:59;False;False;False;False;False;False;True;True;0;True
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ;https://www.eskisehir.edu.tr/;True;True;2024-06-11 11:32:44;2025-06-11 11:32:44;True;False;False;False;False;False;True;True;1;True
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ;www.fsm.edu.tr;True;True;2025-03-21 08:53:29;2026-04-22 08:53:28;False;False;False;False;False;False;True;True;0;True
FENERBAHÇE ÜNİVERSİTESİ;www.fbu.edu.tr;True;True;2024-11-14 00:00:00;2025-11-14 23:59:59;False;False;False;False;False;False;True;True;0;True
FIRAT ÜNİVERSİTESİ;http://www.firat.edu.tr/;True;True;2024-12-06 00:00:00;2026-01-05 23:59:59;False;False;False;False;False;False;True;True;0;True
GALATASARAY ÜNİVERSİTESİ;http://www.gsu.edu.tr;True;True;2025-03-17 00:00:00;2026-04-15 23:59:59;True;False;True;False;False;False;True;True;2;True
GAZİ ÜNİVERSİTESİ;http://gazi.edu.tr/;True;True;2024-12-08 09:51:33;2026-01-09 09:51:32;True;True;True;True;True;False;False;False;5;True
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;http://www.gibtu.edu.tr/;True;True;2024-05-29 11:42:41;2025-06-30 11:42:40;True;False;True;False;False;False;True;True;2;True
GAZİANTEP ÜNİVERSİTESİ;http://www.gantep.edu.tr;True;True;2025-03-11 00:00:00;2026-03-12 23:59:59;True;True;True;False;False;False;True;False;3;True
GEBZE TEKNİK ÜNİVERSİTESİ;www.gtu.edu.tr;True;True;2025-05-13 06:36:46;2026-05-13 06:36:46;False;False;False;False;False;False;True;True;0;True
GİRESUN ÜNİVERSİTESİ;http://www.giresun.edu.tr/;True;True;2024-12-23 00:00:00;2025-12-22 23:59:59;False;False;False;False;False;False;True;True;0;True
GÜMÜŞHANE ÜNİVERSİTESİ;http://www.gumushane.edu.tr;True;True;2024-10-09 00:00:00;2025-10-08 23:59:59;False;False;False;False;False;False;True;True;0;True
HACETTEPE ÜNİVERSİTESİ;http://hacettepe.edu.tr;True;True;2024-08-02 00:00:00;2025-09-02 23:59:59;True;False;False;False;False;False;True;True;1;True
HAKKARİ ÜNİVERSİTESİ;www.hakkari.edu.tr / www.hu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
HALİÇ ÜNİVERSİTESİ;www.halic.edu.tr;True;True;2024-12-26 12:52:45;2026-01-27 12:52:44;True;True;True;True;False;False;False;False;4;True
HARRAN ÜNİVERSİTESİ;http://www.harran.edu.tr/;True;True;2024-05-06 00:00:00;2025-06-06 23:59:59;False;False;False;False;False;False;True;True;0;True
HASAN KALYONCU ÜNİVERSİTESİ;www.hku.edu.tr;True;True;2025-05-17 13:12:43;2025-08-15 13:12:42;False;False;False;False;False;False;True;True;0;True
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ;http://www.mku.edu.tr;True;True;2024-11-28 00:00:00;2025-12-29 23:59:59;False;False;False;False;False;False;True;True;0;True
HİTİT ÜNİVERSİTESİ;http://www.hitit.edu.tr/;True;True;2024-11-25 00:00:00;2025-11-25 23:59:59;True;False;False;False;False;False;True;True;1;True
IĞDIR ÜNİVERSİTESİ;http://www.igdir.edu.tr;True;True;2025-04-06 19:20:24;2025-07-05 19:20:23;False;False;False;False;False;False;True;True;0;True
